time,r,g,b,shutter,gain
2020-08-01T09:43:16Z,180,171,184,595,2.0
2020-08-01T09:53:22Z,172,163,175,350,2.03515625
2020-08-01T10:03:26Z,200,192,201,482,1.01171875
2020-08-01T10:13:31Z,183,174,184,406,1.0
2020-08-01T10:23:36Z,179,170,182,406,1.0
2020-08-01T10:33:41Z,182,173,183,406,1.0
2020-08-01T10:43:47Z,173,164,176,180,2.06640625
2020-08-01T10:53:52Z,171,162,174,161,2.15234375
2020-08-01T11:03:57Z,201,193,202,274,1.05859375
2020-08-01T11:14:02Z,197,189,198,274,1.01953125
2020-08-01T11:24:07Z,170,160,170,123,2.171875
2020-08-01T11:34:13Z,165,155,165,104,2.2890625
2020-08-01T11:44:18Z,159,148,157,85,2.46484375
2020-08-01T11:54:23Z,196,187,195,236,1.05078125
2020-08-01T12:04:28Z,200,193,201,274,1.0
2020-08-01T12:14:32Z,193,185,197,293,1.0
2020-08-01T12:24:38Z,171,161,171,123,2.2265625
2020-08-01T12:34:44Z,171,161,169,85,2.20703125
2020-08-01T12:44:49Z,143,134,142,66,2.5859375
2020-08-01T12:54:55Z,132,123,131,66,2.5859375
2020-08-01T13:05:00Z,186,177,187,236,1.05078125
2020-08-01T13:15:04Z,188,180,190,369,1.01953125
2020-08-01T13:25:09Z,187,178,190,444,1.01953125
2020-08-01T13:35:14Z,185,178,189,369,1.0390625
2020-08-01T13:45:19Z,175,166,177,293,1.03515625
2020-08-01T13:55:24Z,191,183,193,331,1.01953125
2020-08-01T14:05:29Z,190,182,192,312,1.05078125
2020-08-01T14:15:33Z,202,194,202,293,1.015625
2020-08-01T14:25:39Z,174,164,172,123,2.03515625
2020-08-01T14:35:43Z,196,189,197,236,1.05078125
